CERT,date,method,log_deposits,cash_ratio,loan_ratio,equity_ratio,prior_growth
324,2024-09-30,PCA,0.00219935663903873,0.188698485365724,0.05788352481022301,0.08263638807268667,0.6685822451123277
327,2024-03-31,PCA,0.002197442012286078,0.08196683401704809,0.01210915159823636,0.01963371861363589,0.8840928537587937
327,2024-06-30,PCA,0.002461944922427431,0.2964206702897437,0.08487636771146055,0.09206498130579262,0.5241760357705757
327,2024-09-30,PCA,0.002673119881417785,0.20232466696660625,0.026758572141695938,0.06431195896749803,0.703931682042782
340,2024-03-31,PCA,0.0027839592760674874,0.1788066415235991,0.00894006930084062,0.03565348494262681,0.773815844956866
340,2024-06-30,PCA,0.0015805028975665715,0.13624174633729794,0.010047368088080941,0.037265529662036195,0.8148648530150183
340,2024-09-30,PCA,0.0014172168876454884,0.3204011086048482,0.022347774396486095,0.25759518164114686,0.39823871846987324
342,2024-03-31,PCA,0.0008866596357933606,0.4942041413526268,0.1945196500898164,0.09305744391998624,0.2173321050017772
342,2024-06-30,PCA,0.00014638682415340826,0.7195471744182117,0.16994047785573238,0.07928402498202877,0.031081935919873634
342,2024-09-30,PCA,0.00015550420214734443,0.7092357315079382,0.08029152051125948,0.14237202912240318,0.0679452146562517
352,2024-03-31,PCA,0.001994916124254654,0.5441152531066716,0.1574561417015275,0.018945675546182584,0.2774880135213636
352,2024-06-30,PCA,0.0023191401676368917,0.44121858709532297,0.10607591256523148,0.02808771172489821,0.42229864844691045
352,2024-09-30,PCA,0.0019684641029788694,0.3043728466174006,0.07122756138029644,0.04057099025415939,0.5818601376451648
358,2024-03-31,PCA,0.0005859100154110903,0.6590562923149287,0.14440579266578227,0.021285713888661833,0.17466629111521606
358,2024-06-30,PCA,0.0012080039684810792,0.6400719461494714,0.15295463389905237,0.03591483032608425,0.16985058565691102
358,2024-09-30,PCA,0.0005857978252483336,0.8361363006324849,0.06905749495290281,0.011225412940733821,0.08299499364863012
363,2024-03-31,PCA,0.003329115468539467,0.35318978142187146,0.02362929732660525,0.03832655821239668,0.5815252475705871
363,2024-06-30,PCA,0.0026389948849992358,0.41110146924060703,0.06793620750966124,0.05607134446188689,0.4622519839028456
363,2024-09-30,PCA,0.002045678220561993,0.4651163234882363,0.071727037497766,0.051502296403139726,0.40960866439029603
384,2024-03-31,PCA,0.0020860959868863947,0.4711399358818229,0.14394388335891645,0.020883635515242124,0.3619464492571321
384,2024-06-30,PCA,0.0012719553630210294,0.5541189613573068,0.15663756524389996,0.026457607157054735,0.2615139108787174
384,2024-09-30,PCA,0.0010933425440780601,0.2569473628319083,0.042534135699102374,0.00846654762281135,0.6909586113021
